               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093225,            0.029136,            0.029377,             0.61576,            0.091003,            0.084917,            0.034373,            0.052493,            0.030981,            0.014751,            0.070005,           0.0033328,           0.0033328
                   1,            0.060359,             0.02176,            0.014662,             0.54744,             0.22591,              0.2065,             0.10054,            0.037517,            0.022809,           0.0096268,            0.039873,           0.0065342,           0.0065342
                   2,            0.050622,             0.01807,            0.010816,             0.72049,             0.31386,             0.33128,             0.16186,            0.032046,            0.018551,           0.0073146,           0.0096086,           0.0096035,           0.0096035
                   3,            0.043272,            0.015838,           0.0085349,              0.7612,             0.34277,             0.38796,             0.19563,            0.028864,            0.016436,           0.0062435,            0.009406,            0.009406,            0.009406
                   4,            0.039383,            0.014518,           0.0073312,             0.77004,             0.40044,             0.42728,             0.21747,            0.027386,            0.015405,           0.0055678,            0.009406,            0.009406,            0.009406
                   5,             0.03722,            0.013797,             0.00663,             0.59019,             0.51636,             0.52696,             0.26393,            0.025947,            0.014954,           0.0049243,            0.009208,            0.009208,            0.009208
                   6,            0.035856,            0.013351,            0.006025,             0.67201,             0.52389,             0.55859,             0.28651,            0.025492,            0.014446,           0.0046862,             0.00901,             0.00901,             0.00901
                   7,            0.034952,            0.012914,           0.0056595,             0.64126,              0.5631,             0.59571,             0.29923,             0.02502,            0.013996,           0.0043109,            0.008812,            0.008812,            0.008812
                   8,            0.034125,            0.012659,           0.0053167,             0.69122,             0.60145,             0.62381,             0.31852,            0.024535,            0.013878,            0.003935,            0.008614,            0.008614,            0.008614
                   9,            0.033367,            0.012386,           0.0050975,             0.70422,             0.59916,              0.6256,             0.32292,            0.024239,            0.013611,           0.0038116,            0.008416,            0.008416,            0.008416
                  10,            0.032854,            0.012083,           0.0047872,             0.74611,              0.6115,             0.64856,             0.33147,            0.023937,            0.013514,           0.0036199,            0.008218,            0.008218,            0.008218
                  11,             0.03248,            0.011995,           0.0046183,             0.73914,             0.61292,             0.64577,             0.33086,            0.023811,             0.01335,           0.0036046,             0.00802,             0.00802,             0.00802
                  12,            0.031942,            0.011874,           0.0044424,              0.7239,             0.62924,             0.65267,             0.33634,            0.023498,              0.0132,            0.003529,            0.007822,            0.007822,            0.007822
                  13,            0.031693,            0.011703,           0.0042565,             0.74507,             0.62552,             0.66343,             0.35065,             0.02325,             0.01309,            0.003379,            0.007624,            0.007624,            0.007624
                  14,            0.031362,            0.011566,            0.004227,             0.74333,             0.62984,             0.66331,             0.34376,            0.023274,            0.013034,           0.0033794,            0.007426,            0.007426,            0.007426
                  15,            0.030924,            0.011417,           0.0040509,             0.79546,             0.62483,             0.67781,             0.35647,            0.023202,            0.012989,           0.0031469,            0.007228,            0.007228,            0.007228
                  16,            0.030797,            0.011331,           0.0039309,             0.78102,             0.61951,             0.67098,             0.35814,            0.023022,             0.01281,           0.0030963,             0.00703,             0.00703,             0.00703
